name,pr,best_tp,best_tn,best_fp,best_fn
machine-1-1.txt,0.19542243705586815,944,1621,2997,73
machine-1-2.txt,0.47630136969369374,373,3548,459,298
machine-1-3.txt,0.3924495984460733,699,2101,1700,180
machine-1-4.txt,0.3386052373314167,355,3332,505,489
machine-1-5.txt,0.6393853281654188,237,4238,3,203
machine-1-6.txt,0.7003032684660404,2352,92,2233,0
machine-1-7.txt,0.4026219970773033,1000,1408,2092,179
machine-1-8.txt,0.43328040068253176,616,2556,878,629
machine-2-1.txt,0.45079887050883133,351,3327,339,661
machine-2-2.txt,0.47085623098207297,789,2533,986,371
machine-2-3.txt,0.38505263241733334,271,3570,495,341
machine-2-4.txt,0.7412340924599158,1055,2799,422,401
machine-2-5.txt,0.3370094633304685,1249,624,2719,85
machine-2-6.txt,0.4107441075119125,177,5070,113,328
