name,pr,best_tp,best_tn,best_fp,best_fn
05f10d3a-239c-3bef-9bdc-a2feeb0037aa.csv,0.0718123506976382,210,11678,2322,663
0efb375b-b902-3661-ab23-9a0bb799f4e3.csv,0.1419007320709798,71,462,294,11
1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.csv,0.08950456293775227,373,10304,3640,558
301c70d8-1630-35ac-8f96-bc1b6f4359ea.csv,0.7100334813795427,589,3,246,0
42d6616d-c9c5-370a-a8ba-17ead74f3114.csv,0.23214405304998853,187,13275,46,1368
43115f2a-baeb-3b01-96f7-4ea14188343c.csv,0.4671661897402811,318,9871,168,666
431a8542-c468-3988-a508-3afd06a218da.csv,0.3958418800868701,2073,3907,4349,787
4d2af31a-9916-3d9f-8a8e-8a268a48c095.csv,0.5200735498895006,336,10276,0,485
54350a12-7a9d-3ca8-b81f-f886b9d156fd.csv,0.3753602736460356,10,676,6,29
55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.csv,0.42378101152342695,579,12454,519,1321
57051487-3a40-3828-9084-a12f7f23ee38.csv,0.9855538820529313,134,10992,0,2
6a757df4-95e5-3357-8406-165e2bd49360.csv,0.5562772369394003,341,10267,1,438
6d1114ae-be04-3c46-b5aa-be1a003a57cd.csv,0.07748989479647753,908,3872,10073,19
6efa3a07-4544-34a0-b921-a155bd1a05e8.csv,0.20658582644054835,2742,1025,10967,140
